"Component","Value","Manufacturer Part Number","Supplier Part Number","Description","Notes"
"C1",,"Panasonic ECA1VAM472X","Farnell 8767327",,
"C2","1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
"C3","1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
"C4","0805-1U 1u","0805 1uF 50V 10% X7R","standard",,
"C5","0603-100N 100n","0603 100nF 50V 10% X7R","standard",,
"C6","1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
"C7","1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
"C8","1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
"C9","1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
"C10","1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
"C11","1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
"C12","1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
"C13","0603-100N 100n","0603 100nF 50V 10% X7R","standard",,
"C14","1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
"C15","0603-100N 100n","0603 100nF 50V 10% X7R","standard",,
"C16","1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
"C17","1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
"D1",,"Cree JB5630AWT-C0-0000-000A0UC430E","Farnell 2853292",,
"D2",,"Cree JB5630AWT-C0-0000-000A0UC430E","Farnell 2853292",,
"D3",,"ST STPS1L30U","Farnell 1467550",,
"D4",,"Vishay VS-10BQ060-M3","Farnell 2628281",,
"D5",,"ST STPS1L30U","Farnell 1467550",,
"D6",,"Red 0603 LED","Farnell 2687488",,
"D7",,"RB751S40T1G","Farnell 2317437",,
"D8",,"Green 0603 LED","Farnell 2687486",,
"D9",,"RB751S40T1G","Farnell 2317437",,
"D10",,"Green 0603 LED","Farnell 2687486",,
"D11",,"Orange 0603 LED","Farnell 2687484",,
"D12",,"RB751S40T1G","Farnell 2317437",,
"D13",,"RB751S40T1G","Farnell 2317437",,
"D14",,"RB751S40T1G","Farnell 2317437",,
"D15",,"RB751S40T1G","Farnell 2317437",,"fit reversed relative to markings on board revision 1013-B!"
"D16",,"RB751S40T1G","Farnell 2317437",,"fit reversed relative to markings on board revision 1013-B!"
"J1",,"Multicomp MC32593","Farnell 1696534",,
"J2",,"CamdenBoss CTBP0508/2","Farnell 2668641",,
"JP1",,"SOLDER-JUMPER-2MM SOLDER-JUMPER-2MM","-",,"connect"
"JP2",,"SOLDER-JUMPER-2MM SOLDER-JUMPER-2MM","-",,"connect"
"JP3",,"SOLDER-JUMPER-2MM SOLDER-JUMPER-2MM","-",,"connect"
"L2","TDK-VLSX6045EX-220M 22uH","VLS6045EX-220M","Farnell 2493045",,
"L3","TDK-VLSX5045EX-3R3N 3.3uH","TDK VLS5045EX-3R3N","Farnell 2776741",,
"Q1",,"Diodes Inc DMP2035U","Farnell 2061419",,
"Q2",,"Diodes Inc DMP2035U","Farnell 2061419",,
"Q3",,"Diodes Inc DMP2035U","Farnell 2061419",,
"Q4",,"Diodes Inc DMP2035U","Farnell 2061419",,
"Q5",,"Diodes Inc DMP2035U","Farnell 2061419",,
"R1","0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
"R2","0603-1%-56K 56K","0603 56K 1% 100mW","standard",,
"R3","0603-1%-10K 10K","0603 10K 1% 100mW","standard",,
"R4","0603-1%-100K 100K","0603 100K 1% 100mW","standard",,
"R5","0603-1%-270K 270K","0603 270K 1% 100mW","standard",,
"R6","0603-1%-2K2 2K2","0603 2.2K 1% 100mW","standard",,
"R7","0603-1%-47K 47K","0603 47K 1% 100mW","standard",,
"R8","0603-1%-100K 100K","0603 100K 1% 100mW","standard",,
"R9","0603-1%-270K 270K","0603 270K 1% 100mW","standard",,
"R10","0603-1%-2K2 2K2","0603 2.2K 1% 100mW","standard",,
"R11","0603-1%-100K 100K","0603 100K 1% 100mW","standard",,
"R12","0603-1%-100K 100K","0603 100K 1% 100mW","standard",,
"R13","0603-1%-680K 680K","0603 680K 1% 100mW","standard",,
"R14","0603-1%-100K 100K","0603 100K 1% 100mW","standard",,
"R15","0603-1%-47R 47R","0603 47R 1% 100mW","standard",,
"R16","0805 11R","0805 11R 1% 100mW","standard",,
"R17","0805 1R6","0805 1R6 1% 100mW","standard",,
"R18","0805 1R6","0805 1R6 1% 100mW","standard",,
"R19","0603-1%-75K 75K","0603 75K 1% 100mW","standard",,
"R20","0603-1%-49K9 49K9","0603 49K9 1% 100mW","standard",,
"R21","CHIP-0603-DNF DNF",,,,"Do Not Populate"
"R22","0603-1%-75K 75K","0603 75K 1% 100mW","standard",,
"R23","0603-1%-49K9 49K9","0603 49K9 1% 100mW","standard",,
"R24","0603-1%-110K 110K","0603 110K 1% 100mW","standard",,
"R25","0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
"R26","0603-1%-470K 470K","0603 470K 1% 100mW","standard",,
"R27","NTC-0603-10K 10K","NCP18XH103F03RB 10K NTC Thermistor","Farnell 2456122",,
"R28","0603-1%-470K 470K","0603 470K 1% 100mW","standard",,
"R29","NTC-0603-10K 10K","NCP18XH103F03RB 10K NTC Thermistor","Farnell 2456122",,
"R30","0603-1%-4K7 4K7","0603 4.7K 1% 100mW","standard",,
"R31","0603-1%-220R 220R","0603 220R 1% 100mW","standard",,
"R32","0603-1%-220R 220R","0603 220R 1% 100mW","standard",,
"R33","0603-1%-220R 220R","0603 220R 1% 100mW","standard",,
"R34","0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
"R35","0603-1%-220R 220R","0603 220R 1% 100mW","standard",,
"R36","0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
"R37","0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
"R38","0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
"R39","0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
"R40","0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
"R41","0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
"R42","CHIP-0603-DNF DNF",,,,"Do Not Populate"
"R43","CHIP-0603-DNF DNF",,,,"Do Not Populate"
"R44","0603-1%-0R 0R","0603 0R 1% 100mW","standard",,
"R45","0603-1%-0R 0R","0603 0R 1% 100mW","standard",,
"R46","0603-1%-0R 0R","0603 0R 1% 100mW","standard",,
"R47","0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
"R48","0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
"R49","0805 11R","0805 11R 1% 100mW","standard",,
"R50","0603-1%-47R 47R","0603 47R 1% 100mW","standard",,
"SW1",,"Alcoswitch FSM4JSMA","Farnell 3801305",,
"U1",,"Microchip MCP16311T-E/MS","Farnell 2857601",,
"U2",,"MCP73871-2CCI/ML","Farnell 1642489",,
"U3",,"TI TPS63030","Farnell 2781754",,
"U4",,"MCP73871-2CCI/ML","Farnell 1642489",,
"U5",,"Microchip PIC12F1571-I/SN","Farnell 2419682",,
"U6",,"MCP1824-ADJ SOT-23-5","Farnell 1578393",,
